roast_name,ambient_temp,ambient_humidity,ambient_pressure,ramp_duration_s,ramp_mean_ror_c_per_min,ramp_mean_burner_pct,thermal_mass_c_per_pct_per_min,response_lag_s,approach_duration_s,approach_mean_ror_c_per_min,approach_mean_burner_pct,final_undershoot_c,timestamp
Yrgacheffe Chelbessa - Dry Process - 2024,21.7,52.6,1002.1,514.6,16.00,23.0,0.695,0.0,60.0,3.45,23.0,0.35,2025-11-30T13:32:50
Yrgacheffe Chelbessa - Natural - 2024,20.4,77.1,996.0,576.4,16.03,23.0,0.697,0.0,60.0,3.23,23.0,0.17,2025-11-02T12:57:58
Yrgacheffe Chelbessa - Natural,22.1,76.4,996.0,833.2,9.92,22.9,0.432,0.0,30.0,-3.00,23.0,1.50,2025-07-13T08:13:20
Yrgacheffe Chelbessa,20.2,74.0,1007.0,711.2,11.61,22.9,0.506,2.0,30.0,-4.80,23.0,2.40,2025-07-09T11:21:54
Yrgacheffe - Dry Process - 2024,19.0,65.0,0.0,658.7,12.68,23.0,0.551,0.0,60.0,7.70,23.0,0.20,2026-02-04T17:38:39
Yellow Caturra - Washed / Wet Process - 2024,18.0,75.0,10003.0,302.3,20.23,23.0,0.879,0.0,60.0,19.60,23.0,0.00,2025-11-09T10:37:41
Yellow Caturra - Natural / Dry Process - 2024,21.4,53.7,991.0,516.8,17.38,-1.0,0.000,0.0,60.0,1.47,-1.0,0.49,2026-05-13T18:47:18
Yellow Caturra - Natural / Dry Process - 2024,19.8,56.9,1000.4,250.8,5.36,-1.0,0.000,0.0,60.0,1.63,-1.0,0.36,2026-05-09T10:40:28
Yellow Caturra - Natural / Dry Process - 2024,52.7,20.2,975.4,400.8,17.83,23.0,0.775,0.0,60.0,16.10,23.0,0.00,2026-02-06T13:08:51
Yellow Caturra - Natural / Dry Process - 2024,21.3,41.6,1001.6,790.8,10.66,23.0,0.463,0.0,60.0,-3.70,23.0,3.70,2026-01-10T15:15:47
Santa Lucila Rojo - Washed / Wet Process - 2024,20.0,41.0,1018.0,504.1,17.29,-1.0,0.000,0.0,60.0,3.20,-1.0,0.00,2026-04-26T12:47:16
Santa Lucila Rojo - Washed / Wet Process - 2024,21.1,53.1,996.7,404.6,19.55,19.7,0.992,0.0,60.0,4.34,20.1,0.00,2026-05-16T14:53:43
Santa Lucila Rojo - Washed / Wet Process - 2024,21.3,54.9,996.1,454.8,18.02,19.6,0.917,0.0,60.0,1.74,20.2,0.22,2026-05-16T11:50:41
San Ramon - washed - 2024 (400.0g),22.1,0.0,0.0,489.0,14.91,23.0,0.648,0.0,60.0,2.90,23.0,0.00,2025-08-16T09:26:22
San Ramon - Washed / Wet Process - 2024,20.9,44.5,1000.4,432.2,15.92,23.0,0.692,0.0,60.0,5.25,23.0,0.00,2026-02-14T15:01:09
San Ramon - Washed / Wet - 2024,20.9,44.5,1017.0,449.0,18.24,23.0,0.793,0.0,60.0,4.10,23.0,0.60,2025-10-11T11:25:10
San Ignacio de acosta - Wet process - 2024,20.7,82.2,1002.0,809.0,4.97,23.0,0.216,0.0,60.0,1.20,23.0,0.40,2025-07-30T17:31:26
San Ignacio de acosta - Wet process - 2024,22.6,84.0,1010.0,689.1,12.30,22.9,0.536,2.0,30.0,-2.80,23.0,1.50,2025-06-29T11:00:18
San Ignacio de acosta - Wet process - 2024,23.5,72.4,1004.0,653.2,12.05,23.0,0.524,0.0,30.0,3.27,23.0,0.00,2025-06-21T11:37:04
SLN9 - Washed / Wet Process - 2025,20.5,44.5,1001.9,477.0,18.06,22.6,0.799,3.0,60.0,5.10,23.0,0.00,2026-02-14T17:16:05
SLN9 - Washed / Wet - 2025,0.0,0.0,1005.0,751.0,11.19,23.0,0.486,0.0,60.0,5.30,23.0,0.30,2025-09-28T13:04:04
SLN9 - Washed / Wet - 2025 (350.0g),20.4,77.1,999.0,727.0,11.31,23.0,0.492,0.0,60.0,12.05,23.0,0.00,2025-09-13T09:31:58
SLN9 - Washed / Wet - 2025 (350.0g),20.4,0.0,0.0,761.0,10.99,23.0,0.478,0.0,60.0,6.60,23.0,0.00,2025-09-11T13:51:58
SLN9 - Washed / Wet - 2025 (300.0g),20.4,0.0,0.0,878.8,9.15,23.0,0.398,0.0,60.0,2.50,23.0,0.00,2025-09-09T18:12:39
SLN9 - Washed / Wet - 2024 (300.0g),20.4,77.1,1006.0,774.4,8.06,23.0,0.350,0.0,60.0,0.55,23.0,0.75,2025-09-05T16:44:12
Pink Bourbon Washed - Washed / Wet - 2024 (550.0g),22.5,74.9,996.0,393.0,17.57,23.0,0.764,0.0,60.0,6.35,23.0,0.00,2025-08-20T17:41:17
